id,predicted_answer,true_answer,is_correct,pred_confidence,confidence_gap,probs,paragraph,question,choices,answer,question_plus,confidence_gap_bin,prediction_result
generation-for-nlp-439,3,3,True,0.59413564,0.26043975,"[0.3336958885192871, 0.04389703646302223, 0.5941356420516968, 0.02827143669128418]","(가)가/이 귀산 등에게 말하기를 “세속에도 5계가 있으니, 첫째는 충성으로써 임금을 섬기는 것, 둘째는 효도로써 어버이를 섬기는 것, 셋째는 신의로써 벗을 사귀는 것, 넷째는 싸움에 임하여 물러서지 않는 것, 다섯째는 생명 있는 것을 죽이 되가려서 한다는 것이다. 그대들은 이를 실행함에 소홀하지 말라.”라고 하였다. －삼국사기－",(가) 인물에 대한 설명으로 옳은 것은?,"['모든 것이 한마음에서 나온다는 일심사상을 제시하였다.', '화엄사상을 연구하여 화엄일승법계도 를 작성하였다.', '왕에게 수나라에 군사를 청하는 글을 지어 바쳤다.', '인도를 여행하여 왕오천축국전을 썼다.']",3,,"[0.2, 0.3)",Correct
generation-for-nlp-440,4,4,True,0.7458877,0.64620805,"[0.06271567940711975, 0.09967967122793198, 0.09171701222658157, 0.7458876967430115]",(가) 도쿄에서 2․8 독립선언 발표 국내에서 6․10만 세 운동 발발,(가) 시기에 있었던 사실로 옳은 것은?,"['박상진 이 대한광복회를 조직하였다.', '일제가 국가총동원법 을 적용하였다.', '임병찬이 독립의 군부를 만들었다.', '상하이에서 대한민국 임시정부가 수립되었다.']",4,,"[0.6, 0.7)",Correct
generation-for-nlp-441,3,4,False,0.66418546,0.48746932,"[0.10275452584028244, 0.05634382739663124, 0.6641854643821716, 0.1767161637544632]",고종은 연호를 ‘광무’로 바꾸고 환구단을 세워 이곳에서 황제로 즉위하였으며 나라 이름을 (가)으로/로 선포하고 자주 독립 국가임을 알렸다.,(가) 시기에 있었던 사실로 옳은 것은?,"['별 기군을 창설하였다 .', '교육입국조서를 발표하였다 .', '통리기무아문을 설치하였다 .', '지계 발급 사업을 추진하였다 .']",4,,"[0.4, 0.5)",Incorrect
generation-for-nlp-443,4,2,False,0.6010285,0.395082,"[0.05030444636940956, 0.142720565199852, 0.20594651997089386, 0.6010285019874573]","옛사람이 말하기를 나라는 멸망할 수 있으나 그 역사는 결코 없어질 수 없다고 했으니, 이는 나라가 형체라면 역사는 정신이 기 때문이다. 이 제 우리나라의 형체는 없어져 버렸지만, 정신은 살아남아야 할 것이 다.",다음과 같이 주장한 인물에 대한 설명으로 옳은 것은?,"['진단학회를 조직하고 진단학보를 발행하였다 .', '｢ 유교구 신론｣ 을 통해 유교의 개혁을 주장하였다 .', '여유당 전서 를 펴내고 조선학 운동을 전개하였다 .', '의열단의 기 본 정신을 제시한 ｢ 조선혁명 선언 ｣ 을 작성하였다 .']",2,,"[0.3, 0.4)",Incorrect
generation-for-nlp-445,2,2,True,0.62724483,0.44290185,"[0.07415909320116043, 0.6272448301315308, 0.18434299528598785, 0.11425308138132095]","이 찬 이사부가 하슬라 주 군주가 되어, ‘우산국 사람이 우매하고 사나워서 위엄으로 복종시키기는 어려우니 계책을 써서 굴복시키는 것이 좋겠다.’라고 생각하였다. 이에 나무로 사자 모형을 많이 만들어 배에 나누어 싣고 우산국 해안에 이르러, 속임수로 통고하기를 “만약에 너희가 항복하지 않는다면 곧바로 이 맹수들을 풀어 너희를 짓밟아 죽이겠다.”라고 하였다. 그 나라 사람이 두려워 즉시 항복하였다.",다음 사건이 있었던 시기의 신라 국왕에 대한 설명으로 옳은 것은?,"['독서 삼품과를 실시하였다 .', '국호를 ‘신라’로 확정하였다 .', '관료전을 지급하고 녹읍을 폐지하였다 .', '장문휴를 보내 당의 등주를 공격하였다 .']",2,,"[0.4, 0.5)",Correct
generation-for-nlp-446,4,4,True,0.8974264,0.8334684,"[0.012882272712886333, 0.06395803391933441, 0.02573327161371708, 0.897426426410675]","팔순 동안 내가 한 일을 만약 나 자신에게 묻는다면 첫째는 탕평책인데, 스스로 ‘탕평’이란 두 글자가 부끄럽다. 둘째는 균역법인데, 그 효과가 승려에게까지 미쳤다. 셋째는 청계천 준설인데, 만세에 이어질 업적이다. …(하략)…－어제 문업 (御製問業)－",밑줄 친 ‘나’가 국왕으로 재위하던 기간에 있었던 일은?,"['장용영이 창설되었다 .', '나선 정벌이 단행되었다 .', '홍경래의 난이 발생하였다 .', '동국문헌비 고 가 편찬되었다 .']",4,,"[0.8, 0.9)",Correct
generation-for-nlp-447,3,2,False,0.4783899,0.11571333,"[0.04551124572753906, 0.11342228949069977, 0.4783898890018463, 0.36267656087875366]","제주도 고산리 유적은 ㉠시대의 연대를 앞당길 수 있는 단서를 제공해주고 있다. 여기에서 출토된 삼각형 모양의 돌화살촉과 ‘이른 민무늬 토기’를 분석하여 ㉠시대가 기원전 8,000년 경부터 시작되었음을 알게 되었다. 출토된 토기는 일명 ‘고산리식토기’라고 불린다.",㉠시대에 대한 설명으로 옳은 것은?,"['고인돌에 간돌검을 부장하였다.', '가락바퀴를 이용하여 옷감을 만들었다.', '명도전, 반량전 등의 화폐를 사용하였다.', '반달돌칼을 사용하여 이삭을 수확하였다.']",2,,"[0.1, 0.2)",Incorrect
generation-for-nlp-448,1,3,False,0.619052,0.47008651,"[0.619051992893219, 0.14896546304225922, 0.0917317345738411, 0.14025087654590607]",○장수왕은 남 진 정책의 일환으로 수도를 이곳으로 천도 하였다. ○묘청은 이곳으로 수도를 옮길 것을 주장하였다.,밑줄 친 ‘이곳’에 대한 설명으로 옳은 것은?,"['쌍성총관부가 설치되었다 .', '망이 ㆍ망소이가 반란을 일으켰다 .', '제너럴 셔먼호 사건이 발생하였다 .', '1923년 조선 형평사가 결성되었다 .']",3,,"[0.4, 0.5)",Incorrect
generation-for-nlp-449,2,4,False,0.6437756,0.34223217,"[0.026799561455845833, 0.6437755823135376, 0.02788143791258335, 0.3015434145927429]","이제 살펴보건대, 신라가 주․군을 설치할 때 그 전정(田丁), 호구(戶口)가 현의 규모가 되지 못하는 곳에는 ㉠, ㉡을/를 두어 소재지의 읍에 속하게 하였다. －신증동국 여지승람－지난 왕조 때 5도와 양계에 있던 역과 진에서 역을 부담한 사람과 ㉡의 사람은 모두 고려 태조 때의 명령을 거역한 사람이므로, 고려는 이들에게 천하고 힘든 일을 맡게 했다.－ 태조실록－","㉠, ㉡의 거주민에 대한 설명으로 옳은 것은?","['개인의 소유물로 인정되어 매매나 증여, 상속의 대상이 되었다.', '백정이라고 불렸으며 조․용 ․조를 면제받았다.', '관직의 진출에 제한을 받지 않았다.', '향리층의 지배를 받았다.']",4,,"[0.3, 0.4)",Incorrect
generation-for-nlp-450,2,2,True,0.37948206,0.10073918,"[0.12594781816005707, 0.37948206067085266, 0.21582721173763275, 0.27874287962913513]","㉠은/는 만민공동회를 개최하여 외국 열강의 내정간섭을 비판하였다. 또 정부 관리들까지 참석한 관민공동회를 열어 국정개혁에 관한 내용을 논의하였다. 이를 통해 각 부대신과 중추원의장이 합동으로 서명날인하지 않은 조약을 시행하지 말 것, 전국 재정을 탁 지부로 하여금 관리하게 하고 예산과 결산에 관한 사항을 인민에게 공표할 것 등의 요구가 담긴 헌의 6조를 채택하였다.",㉠ 단체에 대한 설명으로 옳은 것은?,"['국정의 기본 강령인 홍범 14조를 발표하였다.', '러시아가 절영도조차를 요구하자 이에 반대하였다.', '경제적 자주권을 지키기 위해 국채보상운동을 일으켰다.', '황해도 일대에 방곡령을 내려 외국에 곡물을 유출하지 못하게']",2,,"[0.1, 0.2)",Correct
generation-for-nlp-451,2,2,True,0.8858788,0.82655287,"[0.0217205248773098, 0.8858788013458252, 0.059325963258743286, 0.033074770122766495]","임진왜란 이후에 우의 정 유성룡도 역시 미곡을 거두는 것이 편리하다고 주장하였으나, 일이 성취되지 못하였다. 1608년에 이르러 좌의 정 이 원익의 건의로 (가)을/를 비로소 시행하여, 민결(民結)에서 미곡을 거두어 서울로 옮기게 하였다.－ 만기 요람－",(가)에 대한 설명으로 옳지 않은 것은?,"['장시의 확대에 기여하였다 .', '지주에게 결작을 부과하였다 .', '공납의 폐단을 막기 위해 실시하였다 .', '공인에게 비용을 지급하고 필요 물품을 조달하였다 .']",2,,"[0.8, 0.9)",Correct
generation-for-nlp-452,1,1,True,0.92991716,0.86524224,"[0.9299171566963196, 0.0021410705521702766, 0.0032668542116880417, 0.06467492878437042]","풍토에 따라 곡식을 심고 가꾸는 법이 다르니, 고을의 경험 많은 농부를 각 도의 감사가 방문하여 농사짓는 방법을 알아본 후 아뢰라고 왕께서 명령하셨다. 이어 왕께서 정초와 변효문 등을 시켜 감사가 아뢴 바 중에서 꼭 필요하고 중요한 것만을 뽑아 농사직설을 편찬하게 하셨다.",밑줄 친 ‘왕’의 업적으로 옳은 것은?,"['공법을 제정하였다 .', '한양으로 도읍을 옮겼다 .', '경국대 전 을 완성하였다 .', '조광조를 등용하여 개혁 정치를 실시하였다 .']",1,,"[0.8, 0.9)",Correct
generation-for-nlp-453,4,3,False,0.40802783,0.12671876,"[0.14406168460845947, 0.16660144925117493, 0.2813090682029724, 0.4080278277397156]","○은력(殷曆) 정월에 지내는 제천행사는 나라에서 여는 대회로 날마다 먹고 마시고 노래하고 춤추는데, 이를 영고라 하였다. 이 때 형옥을 중단하고 죄수를 풀어주었다. ○국내에 있을 때의 의복은 흰색을 숭상하며, 흰베로 만든 큰 소매 달린 도포와 바지를 입고 가죽신을 신는다. 외국에 나갈 때는 비단 옷 ․ 수놓은 옷․모직 옷을 즐겨 입는다.－삼국지 위서동이전－",다음에 해당하는 나라에 대한 설명으로 옳은 것은?,"['사람이 죽으면 뼈만 추려 가족 공동 무덤인목곽에 안치하였다.', '읍군이나 삼로라고 불린 군장이 자기 영역을 다스렸다.', '가축 이름을 딴마가, 우가, 저가, 구가 등이 있었다.', '천신을 섬기는 제사장인 천군이 있었다.']",3,,"[0.1, 0.2)",Incorrect
generation-for-nlp-454,4,2,False,0.4147986,0.0049388707,"[0.004118756856769323, 0.40985971689224243, 0.17122292518615723, 0.4147985875606537]","왕께서는 “우리나라 사람들은 유교 경전과 중국 역사에 대해서는 자세히 말하는 사람이 있으나 우리나라의 사실에 이르러서는 잘 알지 못하니 매우 유감이다. 중국 역사서에 우리 삼국의 열전이 있지만 상세하게 실리지 않았다. 또한, 삼국의 고기(古記)는 문체가 거칠고 졸렬하며 빠진 부분이 많으므로, 이런 까닭에 임금의 선과 악, 신하의 충과 사악, 국가의 안위 등에 관한 것을 다 드러내어 그로써 후세에 권계(勸戒)를 보이지 못했다. 마땅히 일관된 역사를 완성하고 만대에 물려주어 해와 별처럼 빛나도록 해야 하겠다.”라고 하셨습니다.",다음 내용의 역사서에 대한 설명으로 옳은 것은?,"['불교를 중심으로 신화와 설화를 정리하였다.', '유교적인 합리주의사관에 따라 기 전체로서술되었다.', '단군 조선을 우리 역사의 시작으로 본통 사이다.', '진흥왕의 명을 받아 거칠부가 편찬하였다.']",2,,"[0.0, 0.1)",Incorrect
generation-for-nlp-456,4,2,False,0.6994395,0.5491526,"[0.15028691291809082, 0.06151807680726051, 0.08875548839569092, 0.699439525604248]",탑골공원에 모인 수많은 학생과 시민이 독립선언식을 거행하고 만세를 부르며 거리를 행진하였다. 이후 만세시위는 전국으로 확산하였다. 이 운동을 계기로 독립운동가 사이에는 독립운동을 더욱 조직적으로 전개하자는 공감대가 형성되어 (가)가/이 만들어졌다. (가)는/은 구미 위원부를 설치하는 등 적극적으로 독립운동을 펼쳐나갔다.,(가) 단체의 활동에 대한 설명으로 옳은 것은?,"['대동단결 선언 을 발표하였다.', '국내와의 연락을 위해 교통국을 두었다.', '독립군을 양성하기 위해 신흥무관학교를 설립하였다.', '조선혁명 선언 을 강령으로 삼아 의열투쟁을 전개하였다.']",2,,"[0.5, 0.6)",Incorrect
generation-for-nlp-457,2,1,False,0.49320823,0.087981045,"[0.0163024440407753, 0.49320822954177856, 0.08526211231946945, 0.4052271842956543]","1945년 12월 모스크바에서 미국, 소련, 영국의 외무장관들은 한국 문제를 논의하였다. 이 회의에서 미국, 소련, 영국, 중국이 최장 5년간 신탁통치를 시행한다는 합의가 이루어졌다. 또 미국과 소련이 (가)를/을 개최해 민주주의 임시정부 수립 문제에 대해 논의하기로 했다. 이 합의에 따라 1946년 3월 서울에서 (가)가/이 시작되었다.",(가)에 대한 설명으로 옳은 것은?,"['미․소양측의 의견 차이로 결렬되었다.', '조선 건국 준비위원회를 조직하는 성과를 냈다.', '민주공화제를 핵심으로 한 제헌헌법을 만들었다.', '유엔 감시하의 총선거로 정부를 수립한다는 결정을 내렸다.']",1,,"[0.0, 0.1)",Incorrect
generation-for-nlp-459,1,1,True,0.37293,0.12517367,"[0.37292999029159546, 0.16854731738567352, 0.21076634526252747, 0.24775631725788116]","(가) 제10관 일본국 인민이 조선국 지정의 각 항구에 머무는 동안에 죄를 범한 것이 조선국 인민에 관계되는 사건일 때에는 일본 국 관원이 재판한다. (나) 제4관 중국 상인이 조선의 양화진 및 한성에 영업소를 개설할 경우를 제외하고, 각종 화물을 내륙으로 운반하여 상점을 차리고 파는 것을 허가하지 않는다. 단, 내륙 행상이 필요한 경우 지방관의 허가서를 받아야 한다.","(가), (나) 조약 사이의 시기에 있었던 사실로 옳은 것은?","['개항장에서는 일본 화폐가 통용되었다 .', '러시아가 압록강 유역의 산림 채 벌권을 획득하였다 .', '황국 중앙 총상회가 조직되어 상권 수호 운동을 전개하였다 .', '함경도의 방곡령에 불복하여 일본 상인이 손해 배상을 요구하였다 .']",1,,"[0.1, 0.2)",Correct
generation-for-nlp-460,2,2,True,0.6545493,0.48767418,"[0.08402010798454285, 0.6545493006706238, 0.0945555716753006, 0.16687512397766113]","이 시기의 불교 조각은 지역에 따라 다양하게 제작되었다. 처음에는 하남 하사창동의 철 조 석가 여래 좌상과 같은 대형 철불이 많이 제작되었다. 또한 덩치가 큰 석 불이 유행하였는데, 논산 관촉사 석조 미륵보살 입상이 대표적이다. 이 불상은 큰 규모에 비해 조형미는 다소 떨어지지만, 소박한 지방 문화의 모습을 잘 보여 준다.",밑줄 친 ‘이 시기’에 있었던 사실로 옳은 것은?,"['성골 출신의 국왕이 재위하였다 .', '지방 세력으로 호족이 존재하였다 .', '풍양 조씨 등 특정 가문이 정권을 장악하였다 .', '성리학에 투철한 사림 세력이 정국을 주도 하였다 .']",2,,"[0.4, 0.5)",Correct
generation-for-nlp-461,2,3,False,0.663056,0.51244664,"[0.07408074289560318, 0.6630560159683228, 0.11225388199090958, 0.1506093442440033]",(가)신라의 우산국 복속 (나)고구려의 서 안평 점령(다) 백제의 대야성 점령 (라)신라의 금관가야 병합,다음 사건을 시기 순으로 바르게 나열한 것은?,"['(가)→(나)→(다)→(라)', '(가)→(라)→(나)→(다)', '(나)→(가)→(라)→(다)', '(나)→(다)→(가)→(라)']",3,,"[0.5, 0.6)",Incorrect
generation-for-nlp-463,2,4,False,0.7987526,0.6791835,"[0.11956913769245148, 0.7987526059150696, 0.04880411550402641, 0.0328742079436779]",(가)농민군이 정부와 전주화약을 맺었다. (나) 농민군이 우금치에서 전투를 벌였다. (다) 농민군이 황토현에서 관군을 물리쳤다. (라) 전봉준 등이 농민을 모아 고부 관아를 습격하였다.,이를 시기 순으로 바르게 나열한 것은?,"['(다)－(가)－(라)－(나)', '(다)－(라)－(나)－(가)', '(라)－(가)－(나)－(다)', '(라)－(다)－(가)－(나)']",4,,"[0.6, 0.7)",Incorrect
generation-for-nlp-464,1,2,False,0.6238617,0.45410675,"[0.6238616704940796, 0.16975493729114532, 0.054064176976680756, 0.15231920778751373]","경연에서 (가)이/가 중종에게 아뢰기를, “재행(才行)이 있어 임용할 만한 사람을 천거하여, 대궐의 뜰에 모아 놓고 친히 대책(對策)하게 한다면 인물을 많이 얻을 수 있을 것입니다. 이는 …(중략) … 한나라 현량과의 뜻을 이은 것입니다. 덕행은 여러 사람이 천거하는 바이므로 반드시 헛되거나 그릇 되는 것이 없을 것입니다.”라고 하였다.",(가) 인물에 대한 설명으로 옳은 것은?,"['｢ 조의제 문｣ 을 작성하였다 .', '소격서 폐지를 주장하였다 .', '불씨잡변을 저술하여 불교를 비판하였다 .', '서북 지역에 대한 차별에 항거하여 난을 일으켰다 .']",2,,"[0.4, 0.5)",Incorrect
generation-for-nlp-466,2,2,True,0.4194895,0.08566916,"[0.2212819755077362, 0.4194895029067993, 0.3338203430175781, 0.025408200919628143]",왕41년 겨울 10월에 백제근 초고왕이 군사 3만명을 이끌고 평양성을 공격해왔다.왕이 군대를 내어 막다가 화살에 맞아 돌아가셨다. －삼국사기－(가)(나)(다)(라) 낙랑 ․대방군축출 모용황에 의해 환도성 함락 전진의 순도 불교 전래평양 천도백 제한성 함락,다음 설명에 해당하는 시기는?,"['(가)', '(나)', '(다)', '(라)']",2,,"[0.0, 0.1)",Correct
generation-for-nlp-467,2,4,False,0.69681066,0.5506916,"[0.06756164878606796, 0.6968106627464294, 0.14611907303333282, 0.08950857073068619]","개성의 현릉 부근에서 발견된 청동제인물상은 온화한 얼굴에다가 두 손을 맞잡고 있으며, 자비로운 미소를 띠고 있다. 이상은 황제가 착용한다는 통천관을 쓰고 있어 고려가 황제국가로 자부하였음을 알 수 있다.",밑줄 친 ‘인물상’에 해당하는 왕의 업적으로 옳은 것은?,"['유학교육기관으로 국자감을 설치하였다.', '거란에 대비하여 30만 광군을 조직하였다.', '개경을 황도로, 서경을 서도로 격상하였다.', '역분전이라는 토지제도를 처음으로 시행하였다.']",4,,"[0.5, 0.6)",Incorrect
generation-for-nlp-469,2,2,True,0.54390204,0.25919226,"[0.04269940033555031, 0.5439020395278931, 0.12868881225585938, 0.28470978140830994]","철종이 죽고 고종이 어린 나이로 왕이 되자, 고종의 아버지인(가)가/이 실권을 장악하였다. (가)는/은 임진 왜란 때 불탄 후 방치되어 있던 경복궁을 중건하였다. 이 때 원납전이라는 기부금을 징수하는 일이 벌어졌으며 당백전이라는 화폐도 발행되었다.",(가) 인물에 대한 설명으로 옳은 것은?,"['대 한국국제 를 만들어 공포하였다.', '서원을 대폭 줄이는 정책을 추진하였다.', '우정총국 개국 축하연을 이용해 정변을 일으켰다.', '황쭌셴의 조선책략을 가져와 널리 유포하였다.']",2,,"[0.2, 0.3)",Correct
generation-for-nlp-470,3,3,True,0.62967443,0.41608602,"[0.06453912705183029, 0.09219798445701599, 0.6296744346618652, 0.2135884314775467]",직지 심체요절은 백운화상이 저술한 책을 청주 흥덕사에서 1377년 7월에 금속활자로 인쇄한 것이다. 1972년 ‘세계도서의 해’에 출품되어 세계 최고의 금속활자본으로 공인되었다. 이 책은 이러한 가치를 인정받아 2001년 9월에 유네스코 세계기록유산으로 등재되었다.,다음 문화유산이 간행된 왕대에 대한 설명으로 옳은 것은?,"['원황실은 북쪽으로 도망가고 명이 건국되었다.', '기존의 토지문서를 불태워버리고 과전법을 시행하였다.', '원에만 권당을 설치하여 고려와 원의 지식인들이 교류하였다.', '명은 철령위를 설치한다고 고려에 통보하였다.']",3,,"[0.4, 0.5)",Correct
generation-for-nlp-472,4,1,False,0.6176082,0.46620828,"[0.1513998955488205, 0.13668349385261536, 0.09430840611457825, 0.6176081895828247]",○불교를 수용하였다. ○태학을 설립하였다.,다음 정책을 시행한 국왕의 재위 기간에 있었던 사실로 옳은 것은?,"['율령을 반포하였다 .', '이사부가 우산국을 복 속시켰다 .', '관산성 전투에서 성왕이 전사하였다 .', '국내 성에서 평양으로 도읍을 옮겼다 .']",1,,"[0.4, 0.5)",Incorrect
generation-for-nlp-473,1,2,False,0.39051107,0.00954935,"[0.39051106572151184, 0.38096171617507935, 0.16362786293029785, 0.06489936262369156]","그가 왕에게 아뢰었다. “삼교는 솥의 발과 같아서 하나라도 없어서는 안 됩니다. 지금 유교와 불교는 모두 흥하는 데도교는 아직 번성하지 않으니, 소위 천하의 도술(道術)을 갖추었다고 할 수 없습니다.엎드려 청하오니 당에 사신을 보내도교를 구해와서 나라 사람들을 가르치게 하소서.”－삼국사기－",밑줄 친 ‘그’에 대한 설명으로 옳은 것은?,"['당나라와 동맹을 체결하였다.', '천리장성의 축조를 맡아 수행하였다.', '수나라의 군대를 살 수에서 격퇴하였다.', '남진 정책을 추진하여 한성을 점령하였다.']",2,,"[0.0, 0.1)",Incorrect
